A R S Sport Strip - Belle Plaine, MN
Texarkana Municipal Airport - Texarkana, AR
Texas Park Ten Heliport - Houston, TX
Thackers - Oil City, LA
Thayer Memorial - Thayer, MO
The Albertville Mun-Brumlik - Albertville, AL
The City Heliport - Orange, CA
The Dalles Airport - The Dalles, OR
The Red River - Coushatta, LA
The Sigurd Anderson - Webster, SD
Theodore Francis Green Memorial State Airport - Providence, RI
Thibodaux Municipal - Thibodaux, LA
Thief River Falls Regional Airport - Thief River Falls, MN
Thielen - Dorrance, KS
Thigpen - Bay Springs, MS
Thomas C Russell Field - Alexander City, AL
Thomas Co - Thedford, NE
Thomas Creek - Stanley, ID
Thomas Memorial - Glendo, WY
Thomas Municipal - Thomas, OK
Thomaston-Upson Co - Thomaston, GA
Thomasville Airport - Moultrie, GA
Thomasville Regional Airport - Thomasville, GA
Thompson Falls - Thompson Falls, MT
Thompson-Robbins Airport - Helena, AR
Thompsonfield Airport - Thompsonfield, MO
Thompsonville - Thompsonville, MI
Thomson-Mc Duffie Co - Thomson, GA
Thorne Bay Airport - Thorne Bay, AK
Thornton - Brownsville, TN
Thousand Oaks Heliport - Thousand Oaks, CA
Three Castles - Wonewoc, WI
Three Forks - Three Forks, MT
Three Lakes Municipal - Three Lakes, WI
Throckmorton Municipal - Throckmorton, TX
Tiber Dam - Tiber Dam, MT
Ticonderoga Municipal - Ticonderoga, NY
Tieton State - Rimrock, WA
Tiger - Fernley, NV
Tigert - Soda Springs, ID
Tikchik Sea Plane Base - Tikchik, AK
Tillamook - Tillamook, OR
Tillitt - Forsyth, MT
Timber Lake Municipal - Timber Lake, SD
Tin City Air Force Station - Tin City, AK
Tin Creek - Farewell Lake, AK
Tinker Air Force Base - Oklahoma City, OK
Tioga Municipal Airport - Tioga, ND
Tipton Airport - Fort Meade, MD
Tipton Municipal - Tipton, OK
Tishomingo - Tishomingo, OK
Tishomingo Co - Belmont, MS
Titus - Arthurdale, WV
Titusville - Titusville, PA
Toccoa Airport - Toccoa, GA
Todd - Long Prairie, MN
Todd Field - Ankeny, IA
Togiak Fishery Airport - Togiak Fishery, AK
Togiak Village Airport - Togiak Village, AK
Tok Airport - Tok, AK
Tok Junction - Tok, AK
Tokeen Airport - Tokeen, AK
Toketee State - Clearwater, OR
Toksook Bay Airport - Toksook Bay, AK
Toledo Executive Airport - Toledo, OH
Toledo Municipal - Toledo, IA
Toledo State - Toledo, OR
Toledo Suburban - Lambertville, MI
Tom O'Connor Oil Field Airport - Refugio, TX
Tomahawk Regional - Tomahawk, WI
Tombstone Municipal - Tombstone, AZ
Tomlinson - New Rockford, ND
Tompkins County Airport - Ithaca, NY
Tompkinsville-Monroe Co - Tompkinsville, KY
Tonasket Municipal - Tonasket, WA
Tonopah Airport - Tonopah, NV
Tonopah Test Range Airport - Tonopah, NV
Topp of Tampa Airport - Tampa, FL
Torchport - Eastport, MI
Torrington Municipal Airport - Torrington, WY
Toutant - Putnam, CT
Tower Municipal - Tower, MN
Town And Country - Lubbock, TX
Towner Municipal - Towner, ND
Townsend - Townsend, MT
Tracy Municipal - Tracy, CA
Tracy Municipal - Tracy, MN
Tradewater - Dawson Springs, KY
Tradewind Airport - Amarillo, TX
Traer Municipal - Traer, IA
Transco Tower Galleria Heliport - Houston, TX
Traverse City Airport - Traverse City, MI
Travis Air Force Base - Fairfield, CA
Trego Wakeeney - Wakeeney, KS
Tremonton Airport - Tremonton, UT
Trenton Memorial Airport - Trenton, MO
Trenton Municipal - Trenton, NE
Trenton-Mercer Airport - Trenton, NJ
Trenton-Robbinsville - Robbinsville, NJ
Treutlen Co - Soperton, GA
Tri City Airport - Saginaw, MI
Tri Co - Ahoskie, NC
Tri Co - Bonifay, FL
Tri County - Yates, IL
Tri County Regional Airport - Lone Rock, WI
Tri-Cities - Endicott, NY
Tri-Cities Airport - Pasco, WA
Tri-Cities Regional - Bristol, VA/Johnson City/Kingsport, TN
Tri-City - Sebring, OH
Tri-City - West Lafayette, OH
Tri-City Airport - Parsons, KS
Tri-City Airport - San Bernardino, CA
Tri-County - Erie, CO
Tri-State Steuben County Airport - Angola, IN
Tri-State/Milton Airport - Huntington, WV
Tri-Township - Savanna, IL
Triangle North Executive Airport - Louisburg, NC
Tribune Municipal - Tribune, KS
Trinca - Andover, NJ
Trinity Center - Trinity Center, CA
Trinity Co - Groveton, TX
Triple H - Parchment, MI
Triple W Airport - Raleigh, NC
Tripp Creek - St Johns, MI
Trona Airport - Trona, CA
Troutdale Airport - Troutdale, OR
Troy - Troy, MT
Troy - Troy, OH
Troy Municipal Airport - Troy, AL
Truckee Airport - Truckee, CA
Trulson - Plaza, ND
Truth Or Consequences Municipal Airport - Truth Or Consequences, NM
TSTC Waco Airport - Waco, TX
Tuba City Airport - Tuba City, AZ
Tuck - South Boston, VA
Tucker-Guthrie Memorial - Harlan, KY
Tucson International Airport - Tucson, AZ
Tucumcari Airport - Tucumcari, NM
Tulare Airport - Tulare, CA
Tulelake Municipal - Tulelake, CA
Tulsa International Airport - Tulsa, OK
Tulsa Security - Tulsa, OK
Tuluksak Airport - Tuluksak, AK
Tunica - Tunica, MS
Tunica Municipal Airport - Tunica, MS
Tuntutuliak Airport - Tuntutuliak, AK
Tununak Airport - Tununak, AK
Turlock Municipal - Turlock, CA
Turner - Turner, MT
Turner Co - Ashburn, GA
Turners Falls - Montague, MA
Turtle Lake Municipal - Turtle Lake, ND
Tuscaloosa Regional Airport - Tuscaloosa, AL
Tuweep - Tuweep, AZ
Twentynine Palms Airport - Twentynine Palms, CA
Twin Bridges - Twin Bridges, MT
Twin Bridges Emergency - Ketchum, ID
Twin City - Loris, SC
Twin City - Marble Hill, MO
Twin Co - Galax-Hillsville, VA
Twin Falls City County Airport - Twin Falls, ID
Twin Hills Airport - Twin Hills, AK
Twin Lakes - Graniteville, SC
Twin Lakes - Mocksville, NC
Twin Mountain - Twin Mountain, NH
Twin Oaks - San Antonio, TX
Twin Pine - Pennington, NJ
Twisp Municipal - Twisp, WA
Twitchell - Turner, ME
Two Harbors Airport - Catalina Island, CA
Tyler Co - Woodville, TX
Tyler Municipal - Tyler, MN
Tyndall Air Force Base - Panama City, FL
Tyonek Airport - Tyonek, AK
Uganik Airport - Uganik, AK
Ugashik Airport - Ugashik, AK
Ugashik Bay Airport - Pilot Point, AK
Ugnu Kuparuk - Ugnu Kuparuk, AK
Ukiah Airport - Ukiah, CA
Ulysses - Ulysses, KS
Umatilla Municipal - Umatilla, FL
Umiat Airport - Umiat, AK
Umnak Island Airport - Umnak Island, AK
Unalakleet Airport - Unalakleet, AK
Union Co - Columbus, OH
Union Co-Shelton - Union, SC
Union Municipal - Union, MS
Union Station Heliport - Los Angeles, CA
United States Air Force Academy Airport - Colorado Springs, CO
United States Army Heliport - Arlington Heights, IL
United States Naval Heliport - Anacostia, DC
Universal City Heliport - Los Angeles, CA
University - Bath, MI
University Airport - Davis, CA
University Park - State College, PA
University Park Airport - State College, PA
University-Oxford Airport - Oxford, MS
Upolu Point Airport - Upolu Point, HI
Upper Bucks Airport - Quakertown, PA
Upper Cumberland Regional Airport - Sparta, TN
Upper Loon Creek Usfs - Challis, ID
Upshur Co - Buckhannon, WV
Upton Co - Mc Camey, TX
Upton Municipal - Upton, WY
Us Heliport - Wingate, NC
Ute Dam - Logan, NM
Vaiden - Marion, AL
Valdez Municipal Airport - Valdez, AK
Valdosta Regional Airport - Valdosta, GA
Valhalla - North Cape, WI
Valier - Valier, MT
Valkaria - Valkaria, FL
Valle - Grand Canyon, AZ
Valley International Airport - Harlingen, TX
Valley Mills Municipal - Valley Mills, TX
Valley View - Estacada, OR
Van Nuys Airport - Los Angeles, CA
Van Wagnen Airport - Napoleon, MI
Van Wert Co - Van Wert, OH
Van-Pak - Prairie View, KS
Vance Air Force Base - Enid, OK
Vandalia Airport - Vandalia, IL
Vandenburg Air Force Base - Lompoc, CA
Vansant - Erwinna, PA
Vashon Municipal - Vashon, WA
Vaughn Spraying - Kress, TX
Venetie Airport - Venetie, AK
Venice Municipal Airport - Venice, FL
Vermilion Regional Airport - Danville, IL
Vernal Airport - Vernal, UT
Vernonia - Vernonia, OR
Vero Beach Municipal Airport - Vero Beach, FL
Verona - Verona, WI
Versailles Airport - Versailles, MO
Vici Municipal - Vici, OK
Vicksburg Airport - Vicksburg, MS
Vicksburg Tallulah Regional - Tallulah/Vicksburg, LA
Vidalia Municipal Airport - Vidalia, GA
Viertel Memorial - Boonville, MO
View Cove Airport - View Cove, AK
Village Sea Plane Base - West Point, AK
Vincent - Genoa City, WI
Vineland Downstown - Vineland, NJ
Vinita Municipal - Vinita, OK
Vinton Co - Mc Arthur, OH
Vinton-Veterans Memorial - Vinton, IA
Virgil I Grissom Municipal Airport - Bedford, IN
Virginia Highlands Airport - Abingdon, VA
Virginia Tech Airport - Blacksburg, VA
Viroqua Municipal - Viroqua, WI
Visalia Airport - Visalia, CA
Vista - Kennewick, WA
Vivian - Vivian, LA
Volk Field - Camp Douglas, WI
Vor Airport - Otto, NM
W T Piper Memorial Airport - Lock Haven, PA
Wabash Municipal - Wabash, IN
Waco Municipal Airport - Waco, TX
Wadena Municipal - Wadena, MN
Wadsworth Municipal Airport - Wadsworth, OH
Wagner Municipal - Wagner, SD
Wagoner Municipal - Wagoner, OK
Wahoo Municipal Airport - Wahoo, NE
Wahpeton Airport - Wahpeton, ND
Waikoloa Airport - Waikoloa, HI
Wainwright Aaf - Ft Wainwright, AK
Wainwright Airport - Wainwright, AK
Wakefield Municipal - Wakefield, VA
Wakeman Airport - Wakeman, OH
Wakonda Beach State - Waldport, OR
Wakulla Co - Panacea, FL
Walden-Jackson Co - Walden, CO
Waldron Island Airport - Waldron Island, WA
Waldron Municipal - Waldron, AR
Wales - Wales, ME
Wales Airport - Wales, AK
Walhalla Municipal - Walhalla, ND
Walker Co-Bevill - Jasper, AL
Walker Municipal - Walker, MN
Walker-Waterloo - Waterloo, IN
Wall Lake Municipal - Wall Lake, IA
Wall Municipal - Wall, SD
Wall St (Heliport) - New York, NY
Walla Walla Airport - Walla Walla, WA
Wallace Municipal - Wallace, NE
Walle - Pullman, MI
Wallops Flight Facility - Chincoteague, VA
Walnut Ridge Airport - Walnut Ridge, AR
Walt Disney World Airport - Orlando, FL
Walterboro Municipal Airport - Walterboro, SC
Walters Municipal - Walters, OK
Waltham Airport - Waltham, MA
Wamego Municipal - Wamego, KS
Ward - Beasley, TX
Ward - Gasquet, CA
Ware Airport - Ware, MA
Ware County Airport - Waycross, GA
Warf - Reidsville, NC
Warm Spring Bay Sea Plane Base - Baranof, AK
Warm Springs Creek - Lowman, ID
Warminster Nawc - Warminster, PA
Warner Center Business Plaza Heliport - Los Angeles, CA
Warner Robins - Warner Robins, GA
Warren - Warren, OH
Warren Air Force Base - Cheyenne, WY
Warren County Airport - Bowling Green, KY
Warren County Airport - Front Royal, VA
Warren County Airport - Glens Falls, NY
Warren County Memorial Airport - McMinnville, TN
Warren Field - Washington, NC
Warren Municipal - Warren, AR
Warren Municipal - Warren, MN
Warren Usfs - Warren, ID
Warren-Sugarbush - Warren, VT
Warrenton-Fauquier - Warrenton, VA
Warroad Airport - Warroad, MN
Warsaw Municipal - Warsaw, IN
Warsaw Municipal - Warsaw, MO
Warwick Municipal - Warwick, NY
Wasco State - Wasco, OR
Wasco-Kern Co - Wasco, CA
Waseca Municipal - Waseca, MN
Wash. County Regional Airport - Hagerstown, MD
Washburn Municipal - Washburn, ND
Washington Co - Potosi, MO
Washington County Airport - Akron, CO
Washington Dulles International Airport - Washington, DC
Washington Executive/Hyde - Clinton, MD
Washington I - Washington I, WI
Washington Memorial Airport - Washington, MO
Washington Municipal - Washington, IA
Washington-Wilkes Co - Washington, GA
Wasilla Airport - Wasilla, AK
Waskish Municipal - Waskish, MN
Water Valley Municipal - Water Valley, MS
Waterbury - Waterbury, CT
Waterbury-Oxford Airport - Oxford, CT
Waterfall Sea Plane Base - Waterfall, AK
Waterfront Sea Plane Base - Ketchikan, AK
Waterloo Airport - Waterloo, IA
Watertown Airport - Watertown, NY
Watertown Airport - Watertown, SD
Watertown Municipal - Watertown, WI
Waterville - Waterville, WA
Watervliet - Watervliet, MI
Watford City Municipal - Watford City, ND
Watonga - Watonga, OK
Watsonville Airport - Watsonville, CA
Watts Woodland Airport - Woodland, CA
Wauchula Municipal Airport - Wauchula, FL
Waukegan Memorial Airport - Waukegan, IL
Waukesha Airport - Waukesha, WI
Waukon Municipal Airport - Waukon, IA
Waunakee - Waunakee, WI
Waupaca Municipal - Waupaca, WI
Wausau Municipal Airport - Wausau, WI
Wautoma Municipal - Wautoma, WI
Waverly Municipal - Waverly, IA
Wayne Co - Monticello, KY
Wayne County Airport - Wooster, OH
Wayne Municipal - Wayne, NE
Wayne Wonderland - Loa, UT
Waynesboro Municipal - Waynesboro, MS
Waynoka Municipal - Waynoka, OK
Weatherby Usfs - Atlanta, ID
Webb Air Force Base - Big Spring, TX
Webster City Municipal Airport - Webster City, IA
Webster Olf - St Inigoes, MD
Weed - Weed, CA
Weedon Field - Eufaula, AL
Weide Army Air Field - Edgewood Arsenal, MD
Weiker Airport - Green Springs, OH
Weiser - Houston, TX
Weiser Municipal - Weiser, ID
Welch Municipal - Welch, WV
Weld County Airport - Greeley, CO
Welke - Beaver I, MI
Weller - Urbana, OH
Wellington Municipal - Wellington, KS
Wells - Rockford, MI
Wells Jr - Columbus, TX
Wells Municipal - Wells, MN
Wells Seaplane Base - Schenectady, NY
Wellsville Municipal Airport - Wellsville, NY
Welsh - Welsh, LA
Weltzien Skypark Airport - Wadsworth, OH
Wend Valley - Charlotte, MI
Wendover Airport - Wendover, UT
West 30th Street Heliport - New York, NY
West Bend Airport - West Bend, WI
West Branch Community - West Branch, MI
West Chase Hilton Heliport - Houston, TX
West Fargo Utility - Fargo, ND
West Fork Lodge - Conner, MT
West Georgia Regional-Gray - Carrollton, GA
West Houston Airport - Houston, TX
West Kavik Airport - West Kavik, AK
West Kentucky - Paducah, KY
West Kuparuk Airport - West Kuparuk, AK
West Liberty - West Liberty, KY
West Memphis Municipal Airport - West Memphis, AR
West Michigan Regional Airport - Holland, MI
West Palm Beach International Airport - West Palm Beach, FL
West Plains Municipal - West Plains, MO
West Texas - El Paso, TX
West Woodward Airport - Woodward, OK
Westchester County Airport - Westchester County, NY
Westerly State Airport - Westerly, RI
Western - Yelm, WA
Westfield Airport - Westfield, IN
Westfield-Barnes Regional Airport - Westfield, MA
Westheimer - Houston, TX
Westhope Municipal - Westhope, ND
Westmoreland County Airport - Latrobe, PA
Westosha - Wilmot, WI
Westover Metropolitan Airport - Springfield, MA
Westover-Amador Co - Jackson, CA
Westport - Westport, NY
Westport - Westport, WA
Westport - Wichita, KS
Westsound Airport - Westsound, WA
Wetumpka Municipal - Wetumpka, AL
Wexford County Airport - Cadillac, MI
Weydahl - Killdeer, ND
Whale Pass Airport - Whale Pass, AK
Wharton Airport - Wharton, TX
Wheatland Co - Harlowton, MT
Wheaton Municipal - Wheaton, MN
Wheeler - Knox, IN
Wheeler Air Force Base - Wahiawa, HI
Wheeler Municipal - Wheeler, TX
Wheeler-Sack Aaf - Ft Drum, NY
Whetstone International - Port Of Del Bonita, MT
Whidbey - Langley, WA
Whiskey Creek - Silver City, NM
White - Zellwood, FL
White Birch - Hancock, NY
White Cloud - White Cloud, MI
White Co - Monticello, IN
White Mountain Airport - White Mountain, AK
White River Airport - White River, AZ
White River Municipal - White River, SD
White Sulphur Springs - White Sulphur Springs, MT
Whitefield Regional Airport - Whitefield, NH
Whitefish - Whitefish, MT
Whitehouse Nolf - Jacksonville, FL
Whitehurst - Bolivar, TN
Whiteman Air Force Base - Warrensburg, MO
Whiteman Airport - Los Angeles, CA
Whitesburg Municipal Airport - Whitesburg, KY
Whiteside County Airport - Sterling, IL
Whitfield Farms - Hurdle Mills, NC
Whitford'S - Weedsport, NY
Whiting Field Naval Air Station - Milton, FL
Whiting Fld Nas (North) - Milton, FL
Whiting Memorial - Mapleton, IA
Whitman - Manassas, VA
Whitman Co Memorial - Colfax, WA
Whitted Airport - Saint Petersburg, FL
Whittier - Whittier, AK
Wichita Valley - Wichita Falls, TX
Wickenburg Municipal - Wickenburg, AZ
Wickenheiser - Carleton, MI
Wicomico County Airport - Salisbury-Ocean City, MD
Wilbarger Co - Vernon, TX
Wilber Municipal - Wilber, NE
Wilbur - Wilbur, WA
Wilburton Municipal - Wilburton, OK
Wilcox - Anthony, KS
Wilcox - Chatom, AL
Wild Rose Idlewild - Wild Rose, WI
Wilder - De Smet, SD
Wilderness Airpark - Kent City, MI
Wildman Lake Airport - Wildman Lake, AK
Wiley - Winner, SD
Wiley Ford Airport - Cumberland, MD
Wiley Post Airport - Oklahoma City, OK
Wiley Post Will Rogers Memorial Airport - Barrow, AK
Wilgrove Air Park - Charlotte, NC
Wilhelmi - Joliet, IL
Wilkes County Airport - Wilkesboro, NC
Wilkes-Barre International Airport - Wilkes-Barre, PA
Will Rogers World Airport - Oklahoma City, OK
Willapa Harbor - South Bend-Raymond, WA
Willard - Tekoa, WA
Willard - Willard, OH
Willard University Airport - Champaign, IL
William J Fox Airport - Lancaster, CA
William P. Hobby Airport - Houston, TX
Williams - Porter, TX
Williams - Raymond, MS
Williams Co - Bryan, OH
Williams Memorial - Davison, MI
Williams Memorial - Midvale, ID
Williams Ranch - Caddo Gap, AR
Williamsburg Co - Kingstree, SC
Williamsburg-Cumberland Falls - Williamsburg, KY
Williamsburg-Jamestown - Williamsburg, VA
Williamson County Airport - Marion, IL
Williamson-Sodus - Williamson-Sodus, NY
Williston Municipal - Williston, FL
Willmar Airport - Willmar, MN
Willow Airport - Willow, AK
Willow Grove Naval Air Station - Willow Grove, PA
Willow Run Airport - Detroit, MI
Willow Springs Memorial - Willow Springs, MO
Wills Point Municipal - Wills Point, TX
Wilmington International Airport - Wilmington, NC
Wilroads Gardens - Dodge City, KS
Wilsall - Wilsall, MT
Wilson - Pocahontas, AR
Wilson - Stephens, AR
Wilson Creek - Wilson Creek, WA
Wilson Industrial Air Center - Wilson, NC
Wilson'S - Hickory, NC
Winchester Municipal - Winchester, TN
Winchester Regional Airport - Winchester, VA
Winder Airport - Winder, GA
Windham - Willimantic, CT
Windle Municipal - Greensburg, KS
Windom Municipal Airport - Windom, MN
Window Rock - Window Rock, AZ
Wings - Philadelphia, PA
Wings Field - Blue Bell, PA
Wings For Christ International Fl Acad* - Waco, TX
Winifred - Winifred, MT
Wink Airport - Wink, TX
Winlock Airport - Toledo, WA
Winnemucca Airport - Winnemucca, NV
Winnsboro Municipal - Winnsboro, LA
Winnsboro Municipal - Winnsboro, TX
Winona Municipal Airport - Winona, MN
Winona-Montgomery Co - Winona, MS
Winslow Airport - Winslow, AZ
Winsted Municipal - Winsted, MN
Winston County Airport - Louisville, MS
Winston Field - Snyder, TX
Winters Municipal - Winters, TX
Winterset-Madison Co - Winterset, IA
Wiscasset Airport - Wiscasset, ME
Wisdom - Wisdom, MT
Wise Airport - Wise, VA
Wise River - Wise River, MT
Wiseman Airport - Wiseman, AK
Wishek Municipal - Wishek, ND
Witham Field - Stuart, FL
Wittman Field - Oshkosh, WI
WK Kellogg Regional Airport - Battle Creek, MI
Wofford - Weiner, AR
Wolf Point International Airport - Wolf Point, MT
Wolf River - Rossville, TN
Wolfe Air Park - Manvel, TX
Wood Co - Bowling Green, OH
Wood Co - Mineola/Quitman, TX
Wood County Airport - Parkersburg, WV
Wood River Airport - Wood River, AK
Woodbine Municipal - Woodbine, IA
Woodbine Municipal - Woodbine, NJ
Woodchopper Airport - Woodchopper, AK
Woodlake - Woodlake, CA
Woodland State - Woodland, WA
Woodlawns Heliport - Houston, TX
Woodruff Co - Augusta, AR
Woodruff Lake - Winn, MI
Woodward Field - Camden, SC
Woodworth - Woodworth, LA
Woolsey Memorial - Northport, MI
Worcester Regional Airport - Worcester, MA
